generation,candidate,rank,crowding,detection_time,beta_detected,migration,quarantine_threshold,death_fraction,peak_fraction,raw_death_fraction,raw_peak_fraction
1,1,13,Inf,8,0.09794294820090395,0.195869590669218,0.10645791180825373,7.154,8.0,0.154,1.0
1,2,4,Inf,5,0.052000557349575004,0.026070839040293226,0.0631463273538432,7.127774774774775,7.970418918918919,0.15466666666666667,0.9973108108108109
1,3,3,Inf,4,0.13157530240628035,0.011553183529970534,0.08288168115055919,6.653259646984359,7.478518945016128,0.12733333333333333,0.9525926313651025
1,4,6,Inf,4,0.16301176711686924,0.19088048515709352,0.03570156061482131,7.138842135575275,7.988826349132802,0.149,0.9989842135575274
1,5,8,Inf,4,0.06722032687956013,0.1390962186129856,0.12150032187687719,7.145,8.0,0.145,1.0
1,6,14,Inf,4,0.15583717040041364,0.1719214726738456,0.13071131323192786,7.1546666666666665,8.0,0.15466666666666667,1.0
1,7,10,Inf,8,0.15186945332730584,0.08113806424287279,0.16381442227769985,7.148333333333333,8.0,0.14833333333333334,1.0
1,8,4,Inf,5,0.05126653337973684,0.014600131623214246,0.11924327029040023,7.126348122866895,7.984982935153584,0.14,0.9986348122866895
1,9,9,Inf,8,0.08818200398726495,0.17656968706952794,0.10446974109164778,7.146,8.0,0.146,1.0
1,10,2,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
1,11,15,Inf,7,0.12589458731730624,0.11904089587486766,0.17689665188195292,7.156666666666666,8.0,0.15666666666666668,1.0
1,12,1,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
1,13,16,Inf,8,0.1486582375127895,0.141514719278475,0.05917519188872346,7.157666666666667,8.0,0.15766666666666668,1.0
1,14,7,Inf,6,0.11426101827448361,0.02632305137132579,0.1403364283720628,7.140664442961976,7.996330887258173,0.144,0.9996664442961974
1,15,11,Inf,5,0.10672273497131333,0.09017391294240878,0.05378955357384828,7.151,8.0,0.151,1.0
1,16,5,Inf,5,0.041910735988120014,0.09894855762273089,0.13283137496798486,7.1368010872251055,7.9796145292809495,0.15533333333333332,0.9981467753891772
1,17,17,Inf,6,0.0696204857993978,0.16233560587919096,0.11863383379367207,7.167,8.0,0.167,1.0
1,18,12,Inf,10,0.07760243468627911,0.14089409543514217,0.03278792741788756,7.152333333333333,8.0,0.15233333333333332,1.0
2,1,1,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
2,2,2,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
2,3,3,Inf,4,0.13157530240628035,0.011553183529970534,0.08288168115055919,6.653259646984359,7.478518945016128,0.12733333333333333,0.9525926313651025
2,4,5,Inf,5,0.052000557349575004,0.026070839040293226,0.0631463273538432,7.127774774774775,7.970418918918919,0.15466666666666667,0.9973108108108109
2,5,6,Inf,5,0.05126653337973684,0.014600131623214246,0.11924327029040023,7.126348122866895,7.984982935153584,0.14,0.9986348122866895
2,6,6,Inf,5,0.041910735988120014,0.09894855762273089,0.13283137496798486,7.1368010872251055,7.9796145292809495,0.15533333333333332,0.9981467753891772
2,7,7,Inf,4,0.16301176711686924,0.19088048515709352,0.03570156061482131,7.138842135575275,7.988826349132802,0.149,0.9989842135575274
2,8,10,Inf,6,0.11426101827448361,0.02632305137132579,0.1403364283720628,7.140664442961976,7.996330887258173,0.144,0.9996664442961974
2,9,11,Inf,4,0.06722032687956013,0.1390962186129856,0.12150032187687719,7.145,8.0,0.145,1.0
2,10,7,Inf,6,0.09439527283939181,0.040763240414406016,0.12318707295397373,7.134931408832963,7.991857883049593,0.14233333333333334,0.999259807549963
2,11,4,Inf,3,0.02168034388911153,0.10106280187585427,0.12514726245092245,7.027121912769312,7.924234104046243,0.096,0.9931121912769312
2,12,5,Inf,4,0.1365563698388539,0.0768701755932643,0.0485624586974857,7.118940985998798,7.9757350845986785,0.141,0.9977940985998799
2,13,4,Inf,3,0.05761355004375625,0.1286561096253392,0.0929728055681812,7.055839390832099,7.918056663248642,0.13033333333333333,0.9925506057498765
2,14,11,Inf,7,0.06761748200113339,0.016091554748562543,0.12311101406662608,7.145333333333332,7.996333333333332,0.14866666666666667,0.9996666666666667
2,15,10,Inf,4,0.08626481971675667,0.09372128080826865,0.11715061220191939,7.14094120307553,7.996268656716417,0.14433333333333334,0.9996607869742198
2,16,6,2.0,4,0.12513580585926498,0.11489946834986639,0.04158277418099171,7.13521906116643,7.980440967283074,0.153,0.998221906116643
2,17,8,Inf,4,0.16380260551409936,0.1435029338791556,0.06460780585859699,7.135380094288855,7.992351437051074,0.14233333333333334,0.9993046760955521
2,18,9,Inf,5,0.09317258481853738,0.16926592243069002,0.080557692068808,7.137488706365502,7.992470910335387,0.14433333333333334,0.999315537303217
3,1,1,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
3,2,2,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
3,3,5,Inf,4,0.13157530240628035,0.011553183529970534,0.08288168115055919,6.653259646984359,7.478518945016128,0.12733333333333333,0.9525926313651025
3,4,7,Inf,3,0.02168034388911153,0.10106280187585427,0.12514726245092245,7.027121912769312,7.924234104046243,0.096,0.9931121912769312
3,5,7,2.0,3,0.05761355004375625,0.1286561096253392,0.0929728055681812,7.055839390832099,7.918056663248642,0.13033333333333333,0.9925506057498765
3,6,9,Inf,5,0.052000557349575004,0.026070839040293226,0.0631463273538432,7.127774774774775,7.970418918918919,0.15466666666666667,0.9973108108108109
3,7,8,Inf,4,0.1365563698388539,0.0768701755932643,0.0485624586974857,7.118940985998798,7.9757350845986785,0.141,0.9977940985998799
3,8,9,Inf,5,0.05126653337973684,0.014600131623214246,0.11924327029040023,7.126348122866895,7.984982935153584,0.14,0.9986348122866895
3,9,10,Inf,5,0.041910735988120014,0.09894855762273089,0.13283137496798486,7.1368010872251055,7.9796145292809495,0.15533333333333332,0.9981467753891772
3,10,3,Inf,5,0.09375087096143461,0.012219805001069698,0.07710878838507129,6.1153595047934015,6.888295455272742,0.126,0.8989359504793402
3,11,6,Inf,3,0.041448765339479623,0.1285307777290808,0.10306564660836917,7.023958605683893,7.868321132918949,0.14366666666666666,0.9880291939017227
3,12,7,Inf,5,0.03529168988378175,0.019104670252231018,0.10648773975346902,7.064299473681191,7.9130627543826435,0.14333333333333334,0.9920966140347858
3,13,8,Inf,4,0.042004394348390095,0.07868117567601147,0.0634604943415699,7.125435313878203,7.9667455119326895,0.15566666666666668,0.9969768647211535
3,14,12,Inf,4,0.06307587138855744,0.11141442555079012,0.08559793383715678,7.141990196078432,7.995955882352942,0.14566666666666667,0.9996323529411765
3,15,13,Inf,8,0.09013941946253515,0.10614722306265494,0.08860608826403496,7.148666666666666,8.0,0.14866666666666667,1.0
3,16,4,Inf,4,0.0858617983197529,0.03141823282403045,0.05345626506283754,6.474281638624724,7.279809802487197,0.129,0.9345281638624725
3,17,11,Inf,7,0.09568175327268975,0.0174544820271247,0.13700542386999887,7.141427083333334,7.995703125000001,0.14533333333333334,0.999609375
3,18,14,Inf,5,0.07238719762344309,0.1003455996031661,0.0945743958225952,7.152,8.0,0.152,1.0
4,1,1,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
