philosophers,right_rate,replication,variant,deadlock,events,meals,throughput,fairness,observed_until
5,0.4,2,С арбитром,false,43,13,0.26,0.7191489361702128,50.0
5,0.4,3,Классическая,true,8,1,0.02,0.2,1.420803932081135
5,0.4,3,С арбитром,false,34,10,0.2,0.7692307692307693,50.0
5,0.4,4,Классическая,true,8,1,0.02,0.2,2.676266734988501
5,0.4,4,С арбитром,false,28,8,0.16,0.4266666666666667,50.0
5,0.4,5,Классическая,true,5,0,0.0,0.0,0.38449553952816096
5,0.4,5,С арбитром,false,41,12,0.24,0.6260869565217392,50.0
5,0.4,6,Классическая,true,5,0,0.0,0.0,2.0368774242130865
5,0.4,6,С арбитром,false,37,11,0.22,0.7806451612903226,50.0
5,0.4,7,Классическая,true,5,0,0.0,0.0,0.65919229431715
5,0.4,7,С арбитром,false,58,18,0.36,0.5785714285714286,50.0
5,0.4,8,Классическая,true,5,0,0.0,0.0,0.8710566884105613
5,0.4,8,С арбитром,false,55,17,0.34,0.9475409836065574,50.0
5,0.4,9,Классическая,true,5,0,0.0,0.0,0.5916279851725359
5,0.4,9,С арбитром,false,63,20,0.4,0.851063829787234,50.0
5,0.4,10,Классическая,true,5,0,0.0,0.0,0.407750400966515
5,0.4,10,С арбитром,false,47,14,0.28,0.8521739130434782,50.0
5,0.4,11,Классическая,true,5,0,0.0,0.0,0.8097563475633198
5,0.4,11,С арбитром,false,43,13,0.26,0.8666666666666667,50.0
5,0.4,12,Классическая,true,5,0,0.0,0.0,1.857507743469697
5,0.4,12,С арбитром,false,52,16,0.32,0.7314285714285714,50.0
5,0.8,1,Классическая,true,11,2,0.04,0.4,4.185299825350465
5,0.8,1,С арбитром,false,76,24,0.48,0.8861538461538462,50.0
5,0.8,2,Классическая,true,5,0,0.0,0.0,1.7627785623047503
5,0.8,2,С арбитром,false,61,19,0.38,0.8494117647058823,50.0
5,0.8,3,Классическая,true,11,2,0.04,0.4,3.9773256390054392
5,0.8,3,С арбитром,false,58,18,0.36,0.9257142857142857,50.0
5,0.8,4,Классическая,true,5,0,0.0,0.0,0.5660752948251556
5,0.8,4,С арбитром,false,58,18,0.36,0.8756756756756757,50.0
5,0.8,5,Классическая,true,8,1,0.02,0.2,0.8691026496042314
5,0.8,5,С арбитром,false,66,21,0.42,0.7170731707317073,50.0
5,0.8,6,Классическая,true,5,0,0.0,0.0,0.6024414909556159
5,0.8,6,С арбитром,false,70,22,0.44,0.7934426229508197,50.0
5,0.8,7,Классическая,true,8,1,0.02,0.2,1.1751216790299117
5,0.8,7,С арбитром,false,66,21,0.42,0.84,50.0
5,0.8,8,Классическая,true,5,0,0.0,0.0,1.208461100368403
