time,numerical,analytical,error
0.0,1.0,1.0,0.0
0.1,1.030454533950446,1.030454533953517,3.070876886113183e-12
0.2,1.0618365551529674,1.0618365465453596,8.607607737687317e-9
0.3,1.0941743028794098,1.0941742837052104,1.917419933938902e-8
0.4,1.1274968605386673,1.1274968515793757,8.959291530885594e-9
0.5,1.161834232745065,1.161834242728283,9.983218030029661e-9
0.6,1.197217347699063,1.1972173631218102,1.5422747079441024e-8
0.7,1.2336780571872568,1.2336780599567432,2.769486417975031e-9
0.8,1.2712491879500347,1.2712491503214047,3.7628629989683304e-8
0.9,1.3099646073864084,1.3099644507332473,1.5665316110968774e-7
1.0,1.349859018827382,1.3498588075760032,2.1125137883437617e-7
1.1,1.3909682733549678,1.3909681284637803,1.4489118749239083e-7
1.2,1.433329396499376,1.4333294145603401,1.806096405765345e-8
1.3,1.4769805882390141,1.4769807938826427,2.05643628570229e-7
1.4,1.5219612230004878,1.5219615556186337,3.3261814591512007e-7
1.5,1.5683118496586002,1.5683121854901687,3.3583156855421237e-7
1.6,1.6160741915363535,1.6160744021928934,2.1065653998952882e-7
1.7,1.6652911464049447,1.6652911949458864,4.854094171058421e-8
1.8,1.7160069098184567,1.7160068621848585,4.763359817694379e-8
1.9,1.7682673894600673,1.768267051433735,3.3802633225832324e-7
2.0,1.8221193523018004,1.8221188003905089,5.519112915575164e-7
2.1,1.8776110914999105,1.8776105792643432,5.1223556729596e-7
2.2,1.9347925320651345,1.9347923344020317,1.976631027744702e-7
2.3,1.9937152308626929,1.9937155332430823,3.0238038939423006e-7
2.4,2.054432376612292,2.0544332106438876,8.340315957866551e-7
2.5,2.1169987898881186,2.117000016612675,1.226724556158132e-6
2.6,2.181470923118842,2.181472265498201,1.342379359225987e-6
2.7,2.247906860587624,2.2479079866764717,1.12608884794696e-6
2.8,2.316366318432092,2.3163669767810915,6.583489993161606e-7
2.9,2.386910644644376,2.3869108535242765,2.088799004873465e-7
3.0,2.459603159905228,2.4596031111569494,4.874827874701282e-8
3.1,2.534510079213691,2.5345091776178545,9.015958366553889e-7
3.2,2.6116981585555683,2.611696473423118,1.6851324504685294e-6
3.3,2.69123634763862,2.691234472349262,1.8752893580220587e-6
3.4,2.773196030480322,2.7731947639642978,1.2665160240565854e-6
3.5,2.8576510254078573,2.857651118063164,9.26553065383473e-8
3.6,2.944677585058126,2.944679551065524,1.9660073982130655e-6
3.7,3.034354396377733,3.034358394435676,3.998057942933286e-6
3.8,3.1267625806230046,3.1267683651861553,5.784563150701416e-6
3.9,3.221985693359971,3.2219926385284996,6.945168528726953e-6
4.0,3.320109724464379,3.3201169227365472,7.1982721681074224e-6
4.1,3.421223098121679,3.421229536289673,6.438167993838562e-6
4.2,3.5254166728270566,3.5254214873653824,4.814538325792483e-6
4.3,3.632783741385377,3.6327865557528085,2.814367431547282e-6
4.4,3.7434200309112393,3.7434213772608627,1.3463496233434569e-6
4.5,3.8574248767049193,3.857425530696974,6.539920547332656e-7
4.6,3.9749031095418372,3.9749016274947477,1.4820470894960636e-6
4.7,4.095958942562564,4.095955404071176,3.5384913887881453e-6
4.8,4.220700113479168,4.220695816996552,4.296482615906427e-6
4.9,4.349238292445616,4.349235141062741,3.1513828746554395e-6
5.0,4.4816890820577715,4.4816890703380645,1.1719706982660227e-8
5.1,4.618172017353394,4.61817682229978,4.804946386549602e-6
5.2,4.75881056581214,4.758821245137854,1.0679325714413324e-5
5.3,4.903732127355565,4.903748928326621,1.6800971056163405e-5
5.4,5.053068034347109,5.053090316563868,2.2282216758817697e-5
5.5,5.206953551592126,5.206979827179849,2.6275587722501825e-5
5.6,5.365527876337861,5.3655559711219745,2.8094784113363858e-5
5.7,5.528934138273453,5.528961477624004,2.7339350551436326e-5
5.8,5.697319399529921,5.697343422671991,2.402314206939593e-5
5.9,5.870834654680203,5.8708533613826015,1.8706702398674224e-5
6.0,6.049634830739149,6.049647464412945,1.2633673796003109e-5
6.1,6.233878787163455,6.233886658524717,7.871361261457821e-6
6.2,6.423730356405668,6.423736771429133,6.4150234653226335e-6
6.3,6.619366828139065,6.619368681043077,1.8529040115566886e-6
6.4,6.820962427820447,6.8209584692907494,3.958529697811741e-6
6.5,7.028695218843566,7.028687580589293,7.63825427352316e-6
6.6,7.242750093329784,7.24274298516101,7.1081687735841115e-6
6.7,7.463318772128066,7.463317347319193,1.4248088726631636e-6
6.8,7.690599804814977,7.690609198878998,9.394064020895598e-6
6.9,7.92479856969469,7.924823117849487,2.4548154796910637e-5
7.0,8.166127273798987,8.16616991256765,4.2638768663394444e-5
7.1,8.41480495288723,8.41486681144013,6.18585528986415e-5
7.2,8.671057471446423,8.671137658463456,8.018701703349507e-5
7.3,8.93511752269114,8.93521311469875,9.559200760911324e-5
7.4,9.207224628563571,9.207330865882252,0.0001062373186808685
7.5,9.48762513973353,9.487735836358526,0.00011069662499707533
7.6,9.776572235598392,9.776680409528904,0.00010817393051176794
7.7,10.074325924283135,10.074424655013587,9.873073045163494e-5
7.8,10.381153042640452,10.381236562731843,8.352009139045435e-5
7.9,10.697327256250471,10.697392284111054,6.502786058248944e-5
8.0,11.023129059421027,11.023176380641601,4.7321220574048084e-5
8.1,11.35884577518754,11.358882080001454,3.630481391425633e-5
8.2,11.704777444066131,11.704811539980849,3.409591471736917e-5
8.3,12.061249180724126,12.06127612044472,2.6939720594754135e-5
8.4,12.428577045368229,12.428596663577544,1.961820931484226e-5
8.5,12.807086988376605,12.80710378266303,1.679428642376024e-5
8.6,13.197117122454813,13.197138159658353,2.103720354007521e-5
8.7,13.599017722635804,13.599050851830924,3.312919512055146e-5
8.8,14.013151226279922,14.013203607733615,5.2381453693683966e-5
8.9,14.439892233074882,14.43996919280288,7.695972799837136e-5
9.0,14.879627505035817,14.87973172487283,0.00010421983701291992
9.1,15.332755966505253,15.332887019907195,0.00013105340194208281
9.2,15.799688704153077,15.799842948260395,0.00015424410731768035
9.3,16.280848966976613,16.28101980178843,0.0001708348118150127
9.4,16.776672166300525,16.776850672139872,0.00017850583934730935
9.5,17.287605875776944,17.28778184056764,0.00017596479069581505
9.6,17.814109831385306,17.814273179612197,0.00016334822689145767
9.7,18.356655931432517,18.35679856701792,0.00014263558540150711
9.8,18.91572823655281,18.915846312255038,0.00011807570222899244
9.9,19.491822969707833,19.49191959603112,9.662632328755194e-5
10.0,20.085448516186737,20.085536923187668,8.84070009306015e-5
