case,lambda,mu,c,rho,sim_Wq,theory_Wq,relative_error,sim_Lq,theory_Lq,utilization,little_error
1,0.45,0.5,2,0.45,0.49883441594254335,0.5078369905956113,0.0177272920637572,0.21967797508425793,0.22852664576802506,0.440699770002368,-0.004797512089886574
2,0.7,0.5,2,0.7,1.9837119205391702,1.9215686274509798,0.03233987701528279,1.4028084288970522,1.3450980392156857,0.7033066185785407,0.014210084519633126
3,0.9,0.5,2,0.9,9.249965310139471,8.526315789473687,0.08487247464598702,8.318070023267559,7.673684210526319,0.8951676063587486,-0.006898755857964289
4,0.45,0.5,3,0.3,0.06445463881085933,0.06669411280362293,0.03357828597791839,0.028899998530972068,0.030012350761630318,0.302926712909013,-0.00010458893391463234
5,0.7,0.5,3,0.4666666666666666,0.29794296408317844,0.25294985250737445,0.17787364226469463,0.20964151952028875,0.1770648967551621,0.47362014097041366,0.001081444662063863
6,0.9,0.5,3,0.6,0.6166710570112732,0.5912408759124088,0.04301154087091882,0.5613318541113957,0.5321167883211679,0.6089494794826212,0.006327902801249841
7,0.45,0.5,4,0.225,0.009223972585624247,0.009244367044063971,0.002206149792896791,0.004173618504652432,0.004159965169828787,0.2258215204480602,2.2830841121521117e-5
8,0.7,0.5,4,0.35,0.03728632296155873,0.04638761966402302,0.19620098570229091,0.026114610834040205,0.03247133376481611,0.35245227829376385,1.4184760949092351e-5
9,0.9,0.5,4,0.45,0.10645583263427287,0.11684876980204631,0.08894348811185715,0.09584023101551635,0.10516389282184169,0.44659081419820823,2.998164467075959e-5
