case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
1,1,8,1,3363.439297220554,314.3674661733678,3363.439297220554,26.22022857293804
1,2,8,1,58077.51227024251,4602.679087381908,58077.51227024251,413.76261890447876
1,3,8,1,9228.625151081165,707.6213961044983,9228.625151081165,67.44401619229762
1,4,8,1,5674.016509309232,441.5431389641343,5674.016509309232,24.180352479160206
1,5,8,1,19681.63943298478,1618.6575518969635,19681.63943298478,118.25339992738203
1,6,8,1,3493.9493118502564,290.09740676231394,3493.9493118502564,44.17906242685013
1,7,8,1,13403.436004959085,1037.247954819175,13403.436004959085,80.84877704535137
1,8,8,1,7583.190837152942,633.0438207692519,7583.190837152942,58.94122865114571
1,9,8,1,24572.950331058728,2021.5357202015846,24572.950331058728,150.20261446304045
1,10,8,1,670.2386748156131,61.1180068611191,670.2386748156131,15.290884949462281
1,11,8,1,2331.330603791354,133.45928935238172,2331.330603791354,2.8969210560275265
1,12,8,1,22519.925992875545,1867.5171594408584,22519.925992875545,162.757388007944
1,13,8,1,35183.8121119795,2844.4604144743535,35183.8121119795,252.74491136636647
1,14,8,1,1669.7101770758961,121.66382581994391,1669.7101770758961,10.466771809270526
1,15,8,1,13921.83380289012,1113.7704043595093,13921.83380289012,119.6549861565625
1,16,8,1,13747.14337291322,1116.5306693478717,13747.14337291322,88.39301788439116
1,17,8,1,14028.170874040348,1086.692014609325,14028.170874040348,106.43795239871348
1,18,8,1,15994.899821176621,1275.220126183433,15994.899821176621,134.19057332448665
1,19,8,1,39197.79894241094,3133.7712913286487,39197.79894241094,284.29441154064943
1,20,8,1,47850.42651255342,3700.9287500960763,47850.42651255342,280.5345311571849
1,21,8,1,7472.18290020119,576.1181189033895,7472.18290020119,49.26257602327766
1,22,8,1,1941.6092199647765,134.94037831771314,1941.6092199647765,12.392636463874723
1,23,8,1,53458.48187109711,4228.383737062022,53458.48187109711,363.38712315946
1,24,8,1,2369.7263452320417,178.06552295113644,2369.7263452320417,11.378114595635978
1,25,8,1,7864.21195884101,660.4487072417487,7864.21195884101,52.30212821998672
1,26,8,1,38114.61087550516,3089.9368538450917,38114.61087550516,238.32327734004605
1,27,8,1,60294.73065035203,4679.389618964247,60294.73065035203,348.0626894300815
1,28,8,1,1991.7135350013448,194.6159330906957,1991.7135350013448,23.332476601085958
1,29,8,1,38319.63207986025,3070.599058844282,38319.63207986025,254.19667062057607
1,30,8,1,55497.81663556893,4369.686827721177,55497.81663556893,343.3819481040552
1,31,8,1,23877.063422899857,1982.1484555884417,23877.063422899857,175.67494072714538
1,32,8,1,7468.828501182587,603.4403783181262,7468.828501182587,51.12899345892326
