case,required,spares,repairers,replications,simulated_time,standard_error,ci_low,ci_high,analytical_time,relative_error,utilization,analytical_utilization,mean_queue,analytical_queue
1,8,3,1,40,19713.658481943607,2850.4008489161984,14126.872818067859,25300.444145819354,28839.062499995674,0.31642512713627347,0.07981807864853052,0.07986129923606257,0.006712385935251496,0.006718318253237285
2,12,3,1,40,7080.17052428454,1131.7089534615993,4862.020975499805,9298.320073069275,6221.604938271137,0.1379974451177515,0.11901993989729208,0.1193570790753056,0.01490923072613172,0.015180077388629889
3,20,3,1,40,1011.8631428516225,231.554816602229,558.0157023112536,1465.7105833919913,970.0000000000116,0.043157879228464285,0.19935170828521714,0.1958762886597931,0.04056267112970402,0.04123711340206171
4,8,3,2,40,128575.06996185488,22399.95272509723,84671.16262066431,172478.97730304545,110206.24999993917,0.16667675346839084,0.039839990338855956,0.039981852208927325,0.00011216751060164178,0.00011342369420972291
5,12,3,2,40,21662.96386330459,3631.84881164425,14544.540192481862,28781.38753412732,23142.901234561763,0.06394778927056147,0.06006450139765161,0.05991358041156118,0.0003341551478621465,0.0003600816185002007
6,20,3,2,40,4106.030678744741,605.0023352304627,2920.226101693034,5291.835255796448,3395.000000000095,0.20943466236955105,0.09961829555547487,0.09941089837996915,0.0014607471674429548,0.001472754050073617
7,8,3,3,40,99062.97492040679,17124.604117261446,65498.75085057436,132627.19899023924,163096.87499986676,0.3926126731705453,0.02672267184029728,0.026658491566235162,0.0,0.0
8,12,3,3,40,27755.775010503487,4501.423398018399,18932.985150387423,36578.56487061955,34014.81481480168,0.1840092276961198,0.03991627285229818,0.03996080139372928,0.0,0.0
9,20,3,3,40,5047.954544177954,859.1281418587898,3364.063386134726,6731.845702221181,4920.000000000203,0.026007021174338542,0.06678526216702407,0.06639566395663814,0.0,0.0
