case,beta,gamma,frames,peak_I,peak_time
медленнее,0.1,0.1,501,992.1022950568702,0.11531963331549708
базовый,0.3,0.1,501,997.0012275893995,0.04204631249186512
быстрое выздоровление,0.3,0.2,501,994.4645532991749,0.03976545670206333
