initial_I,mean_peak,sd_peak,mean_peak_time,mean_final_R
5,996.75,1.9128750375000738,0.041604846707196295,999.8333333333334
10,997.8333333333334,1.5275252316519465,0.03782493124786102,1000.0
25,996.5833333333334,2.2343733444579583,0.0349015025400988,999.9166666666666
