time,ODE_I,SSA_I,difference
0.0,10.0,10,0.0
0.0003305495122014264,11.030619007527562,11,-0.030619007527562303
0.000709575426511075,12.342113895726223,12,-0.3421138957262233
0.000825393558540722,12.772761102712781,13,0.22723889728721858
0.0010036408997665077,13.464678286773044,14,0.5353217132269563
0.0010263174953972474,13.555313741681857,15,1.4446862583181428
0.0011083650092037144,13.888302113496335,16,2.1116978865036646
0.001312261195286612,14.751129099209958,17,2.248870900790042
0.0013321657892486937,14.838136586995041,18,3.1618634130049585
0.001426534352866172,15.257569808389558,19,3.742430191610442
0.00186159332848316,17.34709046720708,20,2.6529095327929184
0.0019492466890400854,17.800915179709175,21,3.1990848202908246
0.0019678440861951034,17.898691818878152,22,4.101308181121848
0.002377711313056239,20.19242162274729,23,2.8075783772527103
0.002441048364355524,20.571668446478704,24,3.4283315535212964
0.0025946694363443664,21.520711941370198,25,3.479288058629802
0.002669074073691541,21.995635020053488,26,4.004364979946512
0.0028323524361341876,23.074021382493004,27,3.9259786175069955
0.0029264112874985114,23.71850022202371,28,4.28149977797629
0.0029411445930416992,23.821029414787066,29,5.178970585212934
0.0030223926314929452,24.394248003248865,30,5.605751996751135
0.003108758450063188,25.018317244380857,31,5.981682755619143
0.0032136717443717517,25.797354651080813,32,6.202645348919187
0.0032220208421865886,25.86035602055349,33,7.139643979446511
0.003298910979327483,26.44764439055387,34,7.552355609446131
0.003474880426828791,27.840933380202713,35,7.1590666197972865
0.0034941019207765287,27.997377874928667,36,8.002622125071333
0.003523527976409865,28.23853288230758,37,8.761467117692419
0.00362866074858633,29.11670774831904,38,8.88329225168096
0.0036648238856373788,29.424858914302668,39,9.575141085697332
0.0036814454106674447,29.56755186843601,40,10.43244813156399
0.0037193494918228453,29.895465598510647,41,11.104534401489353
0.0038009171666639955,30.613114503003757,42,11.386885496996243
0.0038182118402595743,30.76740648507142,43,12.232593514928581
0.003844783973199142,31.005934089645276,44,12.994065910354724
0.003859910688439143,31.14251921193213,45,13.857480788067871
0.0040114861897690155,32.54368865609371,46,13.456311343906293
0.004033335284777604,32.75062197231202,47,14.249378027687982
0.0041233734664311746,33.616865777179804,48,14.383134222820196
0.0041555107427703325,33.93137727058287,49,15.068622729417129
0.004357940276914158,35.978663292537824,50,14.021336707462176
0.004384641687442397,36.257434087578254,51,14.742565912421746
0.00447346449489575,37.199804475866394,52,14.800195524133606
0.00460847606962073,38.677445653842234,53,14.322554346157766
0.004618907616472206,38.79393029916041,54,15.206069700839592
0.0046272644075953644,38.88748982912359,55,16.112510170876412
0.004718126505439892,39.91881843335209,56,16.081181566647913
0.00477911832987779,40.62575582390558,57,16.37424417609442
0.0048592014756069744,41.572195494234606,58,16.427804505765394
0.004884278381057936,41.87287188522316,59,17.127128114776838
0.004889736601216083,41.93859192461261,60,18.06140807538739
0.0049784874377663485,43.02113697822573,61,17.978863021774274
0.005044407095057639,43.84241611828798,62,18.15758388171202
0.005066490987118562,44.12088488441147,63,18.879115115588533
0.0050978186760721285,44.51880948861597,64,19.48119051138403
0.005185339247026188,45.64870417619264,65,19.351295823807362
0.005250971925697612,46.51388689168374,66,19.48611310831626
0.0052917747187098555,47.05959659678311,67,19.94040340321689
0.00531269228992957,47.34170950077267,68,20.658290499227327
0.0053258356932652925,47.519794488562006,69,21.480205511437994
0.005334707132290156,47.64035658620955,70,22.35964341379045
0.00535424989918875,47.90696692158348,71,23.093033078416518
0.005388989607708126,48.384401411520386,72,23.615598588479614
0.0054296174566379266,48.94848650409759,73,24.051513495902412
0.005541268345992818,50.530958161874956,74,23.469041838125044
0.005572348796317393,50.98002195474214,75,24.019978045257858
0.005674315638053194,52.47993616179918,76,23.52006383820082
0.005675233748816335,52.49362895477308,77,24.50637104522692
0.0057461758336724055,53.561926576969455,78,24.438073423030545
0.005753771309949652,53.6775128973713,79,25.3224871026287
0.0058291188469707265,54.8369447276413,80,25.163055272358697
0.005836853025612306,54.95728294553993,81,26.04271705446007
0.005837063233264757,54.96055709362318,82,27.03944290637682
0.005842037448992353,55.03808800934208,83,27.961911990657917
0.005856749729550837,55.26800508760338,84,28.731994912396623
0.005866290282130807,55.41758366418011,85,29.582416335819893
0.005887696044102617,55.75457487079902,86,30.24542512920098
0.005926936868848408,56.37735595362866,87,30.62264404637134
0.005974482346160401,57.14070113434908,88,30.85929886565092
0.005981857292667064,57.25997269611458,89,31.74002730388542
0.006020680940515842,57.891713598745255,90,32.108286401254745
0.0060588383217710096,58.518982198542965,91,32.481017801457035
0.006209209265773837,61.053467623182016,92,30.946532376817984
0.0062238288608347575,61.30528243055117,93,31.694717569448827
0.006287512704439875,62.413565669885415,94,31.586434330114585
0.00630386477315218,62.70114219729914,95,32.29885780270086
0.006338808389898452,63.31982829423993,96,32.68017170576007
0.006356192355889282,63.62973202144519,97,33.37026797855481
0.006399262966536085,64.40365061927082,98,33.59634938072918
0.0064624789558215615,65.55543615510179,99,33.44456384489821
0.006489504413388952,66.05365716090643,100,33.946342839093575
0.006508959388216631,66.41449018608944,101,34.58550981391056
0.006565836024957611,67.4799102434513,102,34.5200897565487
0.006591915789671519,67.97372304050243,103,35.026276959497565
0.006602793205507882,68.18067212920714,104,35.81932787079286
0.00661467010133766,68.4073036760885,105,36.5926963239115
0.006633618075285385,68.7703088757434,106,37.229691124256604
0.006669208528455473,69.45697681863459,107,37.54302318136541
0.0066870321387770245,69.80323776419851,108,38.196762235801486
0.00669232399258993,69.90635009596876,109,39.09364990403124
0.006703512347222581,70.12482024713125,110,39.875179752868746
0.006729457428082106,70.63386966811306,111,40.366130331886936
0.006760443533678968,71.24629819458433,112,40.75370180541567
0.0067630040082683794,71.2971236991687,113,41.702876300831306
0.0068102465168739055,72.24091380995846,114,41.75908619004154
0.006837231274119319,72.78516011483013,115,42.214839885169866
0.006840465618943057,72.8506454940746,116,43.1493545059254
0.0068600646664155815,73.24862735241761,117,43.751372647582386
0.006890854969294893,73.87790581426721,118,44.12209418573279
