t,S,I,R,N,Re
0.0,990.0,10.0,0.0,1000.0,1.98
0.1,989.4990153200852,10.24789807227622,0.2530866076386837,1000.0000000000001,1.97899803064017
0.2,988.9858808546501,10.501675249751647,0.5124438955984205,1000.0000000000001,1.9779717617093
0.3,988.4603221044058,10.761457483884907,0.7782204117094577,1000.0000000000001,1.9769206442088114
0.4,987.9220593842083,11.027372738052588,1.0505678777392793,1000.0000000000001,1.9758441187684164
0.5,987.3708077773174,11.299550983029528,1.32964123965327,1000.0000000000002,1.9747416155546342
0.6,986.8062770922979,11.578124189996984,1.6155987177051816,1000.0000000000001,1.9736125541845957
0.7,986.2281718227325,11.863226320954439,1.9086018563132086,1000.0000000000002,1.9724563436454645
0.8,985.6361911098764,12.15499331640226,2.2088155737213833,1000.0000000000001,1.9712723822197527
0.9,985.0300287085881,12.453563080087832,2.516408211324069,1000.0000000000001,1.970060057417176
1.0,984.4093729570319,12.759075460567217,2.8315515824009125,1000.0000000000001,1.9688187459140636
1.1,983.7739067496987,13.071672229918603,3.154421020382832,1000.0000000000001,1.9675478134993971
1.2,983.1233075141145,13.3914970587031,3.4851954271825956,1000.0000000000001,1.9662466150282287
1.3,982.4572471933459,13.71869548710115,3.8240573195531136,1000.0000000000002,1.9649144943866914
1.4,981.7753922306782,14.053414893511876,4.171192875809994,1000.0000000000001,1.9635507844613562
1.5,981.0774035609331,14.395804457282754,4.526791981784308,1000.0000000000002,1.9621548071218657
1.6,980.3629366066657,14.746015119320559,4.891048274013927,1000.0000000000001,1.9607258732133312
1.7,979.6316412776707,15.104199537067839,5.264159185261623,1000.0000000000002,1.959263282555341
1.8,978.883161980592,15.470512034982217,5.646325984425977,1000.0000000000002,1.9577663239611836
1.9,978.1171376280488,15.845108551881745,6.037753820069667,1000.0000000000001,1.9562342752560973
2.0,977.333201662244,16.228146580196917,6.438651757559244,1000.0000000000002,1.9546664033244876
2.1,976.5309820757361,16.61978510476306,6.849232819500989,1000.0000000000002,1.9530619641514717
2.2,975.7101014499358,17.020184530122684,7.269714019941743,1000.0000000000002,1.951420202899871
2.3,974.8701769890286,17.429506609824333,7.700316401147344,1000.0000000000002,1.9497403539780567
2.4,974.0108205749335,17.847914361047042,8.141265064019729,1000.0000000000003,1.9480216411498663
2.5,973.1316388155558,18.275571983223568,8.592789201220855,1000.0000000000002,1.946263277631111
2.6,972.2322331178738,18.712644759632887,9.0551221224936,1000.0000000000002,1.944464466235747
2.7,971.3121997521514,19.159298963582135,9.528501284266623,1000.0000000000002,1.9426243995043024
2.8,970.3711299441079,19.6157017472762,10.013168308616137,1000.0000000000002,1.9407422598882154
2.9,969.4086099578788,20.08202103309314,10.509369009028234,1000.0000000000001,1.9388172199157574
3.0,968.4242212067294,20.55842539083255,11.01735340243825,1000.0000000000002,1.9368484424134584
3.1,967.4175403601098,21.045083910102203,11.537375729788142,1000.0000000000001,1.9348350807202195
3.2,966.3881394689296,21.542166069376293,12.069694461694285,1000.0000000000002,1.9327762789378586
3.3,965.3355861052544,22.04984158370061,12.61457231104518,1000.0000000000002,1.9306711722105083
3.4,964.2594434972882,22.568280268483203,13.172276234228706,1000.0000000000001,1.9285188869945762
3.5,963.1592707072897,23.097651860814157,13.74307743189628,1000.0000000000001,1.9263185414145791
3.6,962.0346227792187,23.638125873050274,14.327251347731128,1000.0000000000001,1.9240692455584372
3.7,960.8850509486979,24.189871396390075,14.925077654912174,1000.0000000000002,1.9217701018973954
3.8,959.7101028186196,24.75305693026998,15.536840251110506,1000.0000000000001,1.919420205637239
3.9,958.5093225851431,25.327850181832048,16.162827233025002,1000.0000000000001,1.917018645170286
4.0,957.2822512643406,25.91441785529251,16.803330880366982,1000.0000000000001,1.914564502528681
4.1,956.0284269144549,26.51292545944072,17.458647626104455,1000.0000000000001,1.9120568538289096
4.2,954.7473849270737,27.123537052756735,18.129078020169814,1000.0000000000002,1.909494769854147
4.3,953.4386582553306,27.74641504544767,18.81492669922194,1000.0000000000001,1.906877316510661
4.4,952.10177773877,28.38171993043667,19.516502330793532,1000.0000000000002,1.9042035554775396
4.5,950.7362723880268,29.029610039350903,20.234117572622466,1000.0000000000002,1.9014725447760532
4.6,949.3416696958236,29.690241293533813,20.96808901064274,1000.0000000000002,1.8986833393916467
4.7,947.9174960149696,30.363766894259808,21.718737090770748,1000.0000000000002,1.8958349920299389
4.8,946.4632768512821,31.050337087780175,22.486386060937942,1000.0000000000001,1.892926553702564
4.9,944.9785372912721,31.750098832277075,23.271363876450977,1000.0000000000002,1.8899570745825438
5.0,943.4628023672107,32.46319550596698,24.074002126822524,1000.0000000000001,1.8869256047344212
5.1,941.9155974430815,33.189766615777756,24.89463594114096,1000.0000000000002,1.8838311948861626
5.2,940.336448708322,33.92994741846989,25.733603873208324,1000.0000000000002,1.8806728974166436
5.3,938.7248835365186,34.68386864796441,26.59124781551714,1000.0000000000002,1.8774497670730368
5.4,937.0804310020567,35.45165613677889,27.467912861164685,1000.0000000000002,1.874160862004113
5.5,935.4026223784996,36.233430441900765,28.363947179599855,1000.0000000000002,1.8708052447569987
5.6,933.69099155599,37.02930654429766,29.279701899712546,1000.0000000000002,1.8673819831119796
5.7,931.9450756664377,37.83939340024636,30.21553093331624,1000.0000000000002,1.863890151332875
5.8,930.1644155534765,38.66379360008468,31.17179084643906,1000.0000000000002,1.8603288311069526
5.9,928.3485563104347,39.50260299553488,32.14884069403068,1000.0000000000002,1.856697112620869
6.0,926.4970479651868,40.35591021973501,33.147041815078445,1000.0000000000002,1.852994095930373
6.1,924.6094459388811,41.22379636750872,34.16675769361047,1000.0000000000003,1.8492188918777615
6.2,922.6853117114496,42.106334548250125,35.20835374030063,1000.0000000000003,1.8453706234228986
6.3,920.7242135379713,43.00358939815293,36.27219706387606,1000.0000000000003,1.841448427075942
6.4,918.725726930975,43.915616758084745,37.35865631094053,1000.0000000000003,1.8374514538619495
6.5,916.6894354164244,44.84246318118242,38.468101402393465,1000.0000000000003,1.8333788708328482
6.6,914.6149312953036,45.784165431842354,39.60090327285439,1000.0000000000002,1.8292298625906067
6.7,912.5018161482686,46.74075016217469,40.75743368955702,1000.0000000000003,1.8250036322965366
6.8,910.3497016632381,47.712233391154946,41.93806494560729,1000.0000000000003,1.8206994033264756
6.9,908.1582104529135,48.69861998781231,43.14316955927457,1000.0000000000005,1.8163164209058262
7.0,905.9269765682366,49.69990335502449,44.37312007673933,1000.0000000000005,1.8118539531364724
7.1,903.6556463796447,50.71606489617317,45.628288724182504,1000.0000000000005,1.8073112927592887
7.2,901.3438794672569,51.74707347788729,46.90904705485619,1000.0000000000003,1.8026877589345132
7.3,898.9913491192855,52.79288513558659,48.21576574512834,1000.0000000000005,1.79798269823857
7.4,896.5977432556389,53.85344253905384,49.548814205307664,1000.0000000000003,1.7931954865112771
7.5,894.1627653741573,54.92867445173052,50.908560174112644,1000.0000000000005,1.7883255307483137
