run,max_age,init_white,final_total,max_temperature,min_temperature,living_steps,mean_regulation_error
1,25,0.2,894,41.909190430607666,4.011094684705583,1001,8.831502624168804
2,25,0.8,897,33.18104156865593,-1.9971905316331207,1001,8.580637352263107
3,40,0.2,893,41.83422107602848,3.6009495361148898,1001,8.764757683974638
4,40,0.8,899,32.03901956173354,-2.3473780265746806,1001,8.774004540499503
