t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change,invariant
0.0,40.0,9.0,-3.2,0.9000000000000004,-8.0,10.000000000000004,-0.7463862939678026
0.1,39.677732019054936,9.088990237143179,-3.244837177157978,0.8796081183887825,-8.177980474286356,9.677732019054934,-0.7463862939678042
0.2,39.35113789515877,9.175882726251176,-3.286514739894432,0.8580494468298019,-8.351765452502352,9.351137895158775,-0.7463862939682765
0.3,39.02053587742845,9.260562174604983,-3.324988383843767,0.8353523334118109,-8.521124349209966,9.020535877428452,-0.746386293966633
0.4,38.68624820359512,9.34291631164816,-3.360222767197251,0.8115489002839338,-8.685832623296319,8.68624820359512,-0.746386293967935
0.5,38.34860018549613,9.422836266192155,-3.39219159316231,0.7866749259983155,-8.845672532384311,8.348600185496137,-0.7463862939662094
0.6,38.00791932148964,9.500216918207974,-3.4208776311290277,0.7607697061766037,-9.000433836415947,8.007919321489636,-0.746386293968249
0.7,37.66453436579186,9.574957251506675,-3.446272692428036,0.7338758890516086,-9.149914503013349,7.664534365791859,-0.7463862939633918
0.8,37.31877446910067,9.646960666011953,-3.4683775412336377,0.7060392942682667,-9.293921332023904,7.318774469100669,-0.7463862939713388
0.9,36.97096821728331,9.716135308386768,-3.4872017718954957,0.677308704295883,-9.432270616773536,6.970968217283306,-0.7463862939608702
1.0,36.6214428710377,9.782394322077632,-3.502763609054822,0.6477356514560064,-9.564788644155266,6.621442871037703,-0.746386293970892
1.1,36.270523370595285,9.845656152960181,-3.515089694836222,0.6173741700598212,-9.691312305920363,6.270523370595289,-0.7463862939680788
1.2,35.91853162632679,9.905844752781562,-3.524214798132676,0.5862805545482095,-9.811689505563121,5.918531626326789,-0.7463862939611092
1.3,35.565785706794365,9.962889799087572,-3.530181501615687,0.5545130964212905,-9.925779598175145,5.5657857067943715,-0.7463862939718047
1.4,35.21259895378939,10.016726907059912,-3.5330398527796976,0.5221318019613448,-10.03345381411982,5.212598953789385,-0.7463862939683479
1.5,34.85927943311326,10.067297748936348,-3.532846964019159,0.48919812898433834,-10.134595497872695,4.859279433113262,-0.7463862939655892
1.6,34.50612916149455,10.114550205467918,-3.529666599856489,0.4557746963625968,-10.229100410935835,4.50612916149455,-0.7463862939656892
1.7,34.153443378935464,10.158438476567358,-3.523568728663308,0.42192499030822006,-10.316876953134717,4.153443378935469,-0.7463862939706216
1.8,33.8015101270426,10.198923131641788,-3.514629057678118,0.38771309569865275,-10.397846263283576,3.801510127042599,-0.7463862939772294
1.9,33.450609609753215,10.23597117003785,-3.5029285507371783,0.3532034048448951,-10.471942340075701,3.450609609753219,-0.7463862939529474
2.0,33.1010136048802,10.269556032739777,-3.488552918627958,0.3184603297360562,-10.539112065479555,3.1010136048802037,-0.7463862939695595
2.1,32.752985182932086,10.299657593087481,-3.471592132420156,0.28354804743043793,-10.599315186174962,2.7529851829320866,-0.7463862940036274
2.2,32.406778231695654,10.326262127546872,-3.4521399114258196,0.24853022903363087,-10.652524255093745,2.406778231695656,-0.7463862939453576
2.3,32.062637034799316,10.3493622223024,-3.4302931860269856,0.21346977806273904,-10.698724444604798,2.062637034799318,-0.7463862939573819
2.4,31.720796084328267,10.368956719728626,-3.4061516258419147,0.178428601218783,-10.737913439457252,1.7207960843282681,-0.7463862940245946
2.5,31.381479802790903,10.385050607415858,-3.379817137472552,0.1434673766510639,-10.770101214831714,1.3814798027909014,-0.7463862939801336
2.6,31.044902309387957,10.397654846898282,-3.3513933484350313,0.10864533561742906,-10.795309693796565,1.0449023093879577,-0.7463862939119466
2.7,30.71126728528996,10.406786234597144,-3.3209851441027873,0.07402006593674892,-10.813572469194288,0.7112672852899655,-0.7463862939888084
2.8,30.38076790144555,10.412467265543897,-3.288698235373217,0.03964733309571722,-10.824934531087797,0.38076790144555844,-0.7463862940649768
2.9,30.05358672280303,10.414725922039796,-3.254638701564651,0.005580910310538201,-10.829451844079589,0.05358672280302448,-0.7463862939047214
3.0,29.729895715699495,10.413595393443995,-3.2189125298816226,-0.02812756730741217,-10.827190786887988,-0.27010428430050415,-0.7463862939424928
3.1,29.40985626013187,10.40911397120113,-3.181625287753926,-0.06142873447678232,-10.81822794240226,-0.5901437398681295,-0.7463862940829554
3.2,29.093619203194017,10.401324783814824,-3.1428817290616538,-0.09427561045391908,-10.802649567629643,-0.9063807968059839,-0.7463862940309731
3.3,28.781324990978412,10.39027550034329,-3.1027854193257802,-0.1266236908911762,-10.780551000686582,-1.2186750090215859,-0.7463862938512564
3.4,28.473103805989442,10.376018078602721,-3.061438416298623,-0.15843102513203222,-10.75203615720544,-1.5268961940105565,-0.7463862939778498
3.5,28.16907567450781,10.358608605699438,-3.0189410264803245,-0.18965828474427848,-10.717217211398875,-1.830924325492191,-0.746386294158206
3.6,27.86935066698257,10.338106983535322,-2.975391508440288,-0.22026880749132394,-10.676213967070643,-2.1306493330174323,-0.7463862939642647
3.7,27.57402921738685,10.314576566530365,-2.9308857904709553,-0.2502286138542891,-10.62915313306073,-2.425970782613148,-0.7463862938416279
3.8,27.28320227079017,10.288083992515512,-2.8855173038545674,-0.2795064322878611,-10.576167985031024,-2.7167977292098264,-0.7463862940141701
3.9,26.996951520829445,10.258698936652065,-2.839376805108663,-0.30807370239981546,-10.51739787330413,-3.0030484791705523,-0.7463862941976962
4.0,26.715349699245987,10.226493810678962,-2.7925521970646647,-0.33590455970905664,-10.452987621357924,-3.2846503007540093,-0.7463862939112228
4.1,26.438461018035227,10.191543378820743,-2.7451283448878216,-0.3629757903005504,-10.383086757641484,-3.561538981964772,-0.7463862938466891
