client,arrival,service_start,departure,waiting,service,system
1,0.14518451436852475,0.14518451436852475,2.200985520126681,0.0,2.0558010057581564,2.0558010057581564
2,0.5941831542903504,0.5941831542903504,5.900722829377648,0.0,5.306539675087298,5.306539675087298
3,1.5490648267819074,2.200985520126681,3.5822120399442174,0.6519206933447736,1.3812265198175364,2.03314721316231
4,1.6242796925312217,3.5822120399442174,9.670688398447817,1.9579323474129957,6.0884763585036,8.046408705916596
5,1.6911000709069648,5.900722829377648,9.634196437885254,4.209622758470683,3.733473608507606,7.94309636697829
6,2.2989039524296317,9.634196437885254,17.401833154870328,7.335292485455623,7.7676367169850735,15.102929202440697
7,4.377930221620457,9.670688398447817,15.066978111608014,5.29275817682736,5.396289713160197,10.689047889987556
8,5.164942797008021,15.066978111608014,16.655548432659554,9.902035314599992,1.5885703210515398,11.490605635651534
9,7.0099944106308705,16.655548432659554,17.586065352135993,9.645554022028684,0.9305169194764389,10.576070941505122
10,7.828990220943469,17.401833154870328,18.690264775280085,9.572842933926859,1.2884316204097566,10.861274554336616
