source,Wq,W,Lq,L,p_wait
simulation,4.856795873206697,8.410492119082418,2.509650300607229,4.4512158923116605,0.8
Erlang C,8.526315789473687,10.526315789473687,7.673684210526319,9.473684210526319,0.8526315789473685
