time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.1,0.8071357461818358,0.8071357461818358,0.8071357461818358,0.8071357461818358,0.8071357461818358,0.18615340968939573,0.18615340968939573,0.18615340968939573,0.18615340968939573,0.18615340968939573,0.006710844128768513,0.006710844128768513,0.006710844128768513,0.006710844128768513,0.006710844128768513,0.8004249020530673,0.8004249020530673,0.8004249020530673,0.8004249020530673,0.8004249020530673
0.2,0.679356603417291,0.679356603417291,0.679356603417291,0.679356603417291,0.679356603417291,0.30106370905211133,0.30106370905211133,0.30106370905211133,0.30106370905211133,0.30106370905211133,0.01957968753059772,0.01957968753059772,0.01957968753059772,0.01957968753059772,0.01957968753059772,0.6597769158866933,0.6597769158866933,0.6597769158866933,0.6597769158866933,0.6597769158866933
0.3,0.5901523698562412,0.5901523698562412,0.5901523698562412,0.5901523698562412,0.5901523698562412,0.3766845780082189,0.3766845780082189,0.3766845780082189,0.3766845780082189,0.3766845780082189,0.03316305213553994,0.03316305213553994,0.03316305213553994,0.03316305213553994,0.03316305213553994,0.5569893177207013,0.5569893177207013,0.5569893177207013,0.5569893177207013,0.5569893177207013
0.4,0.5254312322692063,0.5254312322692063,0.5254312322692063,0.5254312322692063,0.5254312322692063,0.42906122540909636,0.42906122540909636,0.42906122540909636,0.42906122540909636,0.42906122540909636,0.04550754232169744,0.04550754232169744,0.04550754232169744,0.04550754232169744,0.04550754232169744,0.47992368994750884,0.47992368994750884,0.47992368994750884,0.47992368994750884,0.47992368994750884
0.5,0.4770590756215338,0.4770590756215338,0.4770590756215338,0.4770590756215338,0.4770590756215338,0.4669169909384599,0.4669169909384599,0.4669169909384599,0.4669169909384599,0.4669169909384599,0.056023933440006383,0.056023933440006383,0.056023933440006383,0.056023933440006383,0.056023933440006383,0.42103514218152743,0.42103514218152743,0.42103514218152743,0.42103514218152743,0.42103514218152743
0.6,0.4400370656757605,0.4400370656757605,0.4400370656757605,0.4400370656757605,0.4400370656757605,0.49529255769070213,0.49529255769070213,0.49529255769070213,0.49529255769070213,0.49529255769070213,0.06467037663353747,0.06467037663353747,0.06467037663353747,0.06467037663353747,0.06467037663353747,0.37536668904222303,0.37536668904222303,0.37536668904222303,0.37536668904222303,0.37536668904222303
0.7,0.4111386606545385,0.4111386606545385,0.4111386606545385,0.4111386606545385,0.4111386606545385,0.5172457432723874,0.5172457432723874,0.5172457432723874,0.5172457432723874,0.5172457432723874,0.07161559607307422,0.07161559607307422,0.07161559607307422,0.07161559607307422,0.07161559607307422,0.3395230645814643,0.3395230645814643,0.3395230645814643,0.3395230645814643,0.3395230645814643
0.8,0.38819802846920876,0.38819802846920876,0.38819802846920876,0.38819802846920876,0.38819802846920876,0.5347072215555455,0.5347072215555455,0.5347072215555455,0.5347072215555455,0.5347072215555455,0.07709474997524587,0.07709474997524587,0.07709474997524587,0.07709474997524587,0.07709474997524587,0.3111032784939629,0.3111032784939629,0.3111032784939629,0.3111032784939629,0.3111032784939629
0.9,0.36971448384771494,0.36971448384771494,0.36971448384771494,0.36971448384771494,0.36971448384771494,0.5489378503127271,0.5489378503127271,0.5489378503127271,0.5489378503127271,0.5489378503127271,0.08134766583955812,0.08134766583955812,0.08134766583955812,0.08134766583955812,0.08134766583955812,0.28836681800815683,0.28836681800815683,0.28836681800815683,0.28836681800815683,0.28836681800815683
