time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
0.1,0.5396336717982326,0.5396336717982326,0.5396336717982326,0.5396336717982326,0.5396336717982326,0.45093750154196655,0.45093750154196655,0.45093750154196655,0.45093750154196655,0.45093750154196655,0.009428826659800769,0.009428826659800769,0.009428826659800769,0.009428826659800769,0.009428826659800769,0.5302048451384318,0.5302048451384318,0.5302048451384318,0.5302048451384318,0.5302048451384318,1.6981683589911638
0.2,0.4576638618974114,0.4576638618974114,0.4576638618974114,0.4576638618974114,0.4576638618974114,0.5163534674760691,0.5163534674760691,0.5163534674760691,0.5163534674760691,0.5163534674760691,0.02598267062651944,0.02598267062651944,0.02598267062651944,0.02598267062651944,0.02598267062651944,0.4316811912708919,0.4316811912708919,0.4316811912708919,0.4316811912708919,0.4316811912708919,1.2883193094870575
0.3,0.412522210005385,0.412522210005385,0.412522210005385,0.412522210005385,0.412522210005385,0.5480422066250612,0.5480422066250612,0.5480422066250612,0.5480422066250612,0.5480422066250612,0.03943558336955372,0.03943558336955372,0.03943558336955372,0.03943558336955372,0.03943558336955372,0.37308662663583125,0.37308662663583125,0.37308662663583125,0.37308662663583125,0.37308662663583125,1.0626110500269257
0.4,0.38421879174606255,0.38421879174606255,0.38421879174606255,0.38421879174606255,0.38421879174606255,0.565585164909921,0.565585164909921,0.565585164909921,0.565585164909921,0.565585164909921,0.0501960433440164,0.0501960433440164,0.0501960433440164,0.0501960433440164,0.0501960433440164,0.3340227484020461,0.3340227484020461,0.3340227484020461,0.3340227484020461,0.3340227484020461,0.9210939587303133
0.5,0.36521594380753747,0.36521594380753747,0.36521594380753747,0.36521594380753747,0.36521594380753747,0.5760026043832199,0.5760026043832199,0.5760026043832199,0.5760026043832199,0.5760026043832199,0.05878145180924251,0.05878145180924251,0.05878145180924251,0.05878145180924251,0.05878145180924251,0.3064344919982949,0.3064344919982949,0.3064344919982949,0.3064344919982949,0.3064344919982949,0.8260797190376881
0.6,0.35193660865327625,0.35193660865327625,0.35193660865327625,0.35193660865327625,0.35193660865327625,0.5824250766499011,0.5824250766499011,0.5824250766499011,0.5824250766499011,0.5824250766499011,0.06563831469682262,0.06563831469682262,0.06563831469682262,0.06563831469682262,0.06563831469682262,0.28629829395645356,0.28629829395645356,0.28629829395645356,0.28629829395645356,0.28629829395645356,0.7596830432663819
0.7,0.34242924795150126,0.34242924795150126,0.34242924795150126,0.34242924795150126,0.34242924795150126,0.5864442811673927,0.5864442811673927,0.5864442811673927,0.5864442811673927,0.5864442811673927,0.07112647088110605,0.07112647088110605,0.07112647088110605,0.07112647088110605,0.07112647088110605,0.27130277707039513,0.27130277707039513,0.27130277707039513,0.27130277707039513,0.27130277707039513,0.7121462397575069
0.8,0.33552420777357683,0.33552420777357683,0.33552420777357683,0.33552420777357683,0.33552420777357683,0.5889451614016797,0.5889451614016797,0.5889451614016797,0.5889451614016797,0.5889451614016797,0.07553063082474346,0.07553063082474346,0.07553063082474346,0.07553063082474346,0.07553063082474346,0.2599935769488333,0.2599935769488333,0.2599935769488333,0.2599935769488333,0.2599935769488333,0.6776210388678847
0.9,0.3304719146273938,0.3304719146273938,0.3304719146273938,0.3304719146273938,0.3304719146273938,0.5904530987018551,0.5904530987018551,0.5904530987018551,0.5904530987018551,0.5904530987018551,0.0790749866707511,0.0790749866707511,0.0790749866707511,0.0790749866707511,0.0790749866707511,0.25139692795664265,0.25139692795664265,0.25139692795664265,0.25139692795664265,0.25139692795664265,0.6523595731369696
