time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
0.025875924197217837,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,3
0.04889527706717447,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2
0.04963805632205639,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
0.29850213094424355,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
0.327246961001015,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2
0.4793399621945231,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
0.5124310312295512,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0.5361167299004036,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.3306283158454992,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1.4005636626070632,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1.9491071343225288,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.1655997193578918,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
3.2619735874878937,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3.3930610200209372,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4.605005286170498,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
5.166408429119985,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
5.351854392246536,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
6.473912389463568,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
7.076919736469699,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
7.646811909513707,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
9.108706945278488,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
9.845435967257378,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
9.859361332653181,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,2
10.01129843329154,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
10.054325304365598,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
10.645707066494868,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11.155093932863563,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
11.347278626154639,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
15.425853913558637,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16.76555549055743,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
17.318158115478518,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
17.64622388845115,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
18.29404745636326,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
18.948889145522635,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
19.394419831333856,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
20.278651017255157,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
20.29957236367283,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
20.32512339997871,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
20.491269840206925,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
20.64386139856843,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
20.963643316211908,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21.64028812197281,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
21.662828292287195,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
29.597775823468716,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29.758328900252078,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
30.04115221922425,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
30.33023234517767,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31.65248686572067,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
31.689995463994453,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
32.44603257260519,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
32.56123935091461,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
33.06568889063358,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
33.0773926890362,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
33.4902125037264,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
33.51020039089516,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
36.521078005390926,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
36.85102672599358,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
36.86058943048836,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
37.70356756428146,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
37.98494240549732,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
38.33408821791239,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
38.93144410746371,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
42.0131030181199,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
42.1521590785901,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
