parameter,value,replicate,peak,time_peak,R_T,cases,I_T,vaccinated,population,balance
contact,10.0,19,183,18.363059467643616,822,822,0,0,1000,true
contact,10.0,20,176,19.17733239638275,809,809,0,0,1000,true
contact,14.0,1,288,14.940214541248825,927,927,0,0,1000,true
contact,14.0,2,314,12.809698776561067,952,952,0,0,1000,true
contact,14.0,3,309,11.399401519465057,920,920,0,0,1000,true
contact,14.0,4,288,10.49711823294513,932,932,0,0,1000,true
contact,14.0,5,313,12.124814407872442,895,895,0,0,1000,true
contact,14.0,6,323,10.455757980212592,938,938,0,0,1000,true
contact,14.0,7,327,11.9666290217145,923,923,0,0,1000,true
contact,14.0,8,314,11.846062607222455,948,948,0,0,1000,true
contact,14.0,9,247,11.621973203113788,924,924,0,0,1000,true
contact,14.0,10,292,11.611245659730193,919,919,0,0,1000,true
contact,14.0,11,293,13.229055449164703,940,940,0,0,1000,true
contact,14.0,12,310,11.844735487297736,938,938,0,0,1000,true
contact,14.0,13,287,12.417000212169919,913,913,0,0,1000,true
contact,14.0,14,293,12.354625579485106,927,927,0,0,1000,true
contact,14.0,15,258,14.410782269397975,908,908,0,0,1000,true
contact,14.0,16,327,9.424393599104686,955,955,0,0,1000,true
contact,14.0,17,255,10.402307338338291,935,935,0,0,1000,true
contact,14.0,18,296,10.917252355599336,906,906,0,0,1000,true
contact,14.0,19,291,14.876734642464447,923,923,0,0,1000,true
contact,14.0,20,276,11.104206937559715,932,932,0,0,1000,true
recovery,0.15,1,317,18.436430858597742,954,954,0,0,1000,true
recovery,0.15,2,322,17.667674394191987,934,934,0,0,1000,true
recovery,0.15,3,405,14.792529326754007,978,978,0,0,1000,true
recovery,0.15,4,379,14.099901739769129,956,956,0,0,1000,true
recovery,0.15,5,372,15.934357379328047,959,959,0,0,1000,true
recovery,0.15,6,388,15.363317463119674,979,979,0,0,1000,true
recovery,0.15,7,300,17.86236784641149,954,955,1,0,1000,true
recovery,0.15,8,331,15.637839516026622,959,959,0,0,1000,true
recovery,0.15,9,325,13.958471653762228,955,955,0,0,1000,true
recovery,0.15,10,337,13.247306649547962,954,954,0,0,1000,true
recovery,0.15,11,337,18.212630848947455,945,945,0,0,1000,true
recovery,0.15,12,331,17.25012005136856,971,973,2,0,1000,true
recovery,0.15,13,355,19.117018181410764,954,954,0,0,1000,true
recovery,0.15,14,370,14.158949394172831,955,955,0,0,1000,true
recovery,0.15,15,313,19.888953563066284,938,938,0,0,1000,true
recovery,0.15,16,387,15.798544529488801,968,968,0,0,1000,true
recovery,0.15,17,333,16.11073791805852,960,960,0,0,1000,true
recovery,0.15,18,359,15.814908247540634,964,964,0,0,1000,true
recovery,0.15,19,354,22.2865606147903,962,962,0,0,1000,true
recovery,0.15,20,357,16.851859524331456,963,963,0,0,1000,true
recovery,0.25,1,175,21.416150511665272,815,817,2,0,1000,true
recovery,0.25,2,202,14.708382313346425,801,801,0,0,1000,true
recovery,0.25,3,215,20.11490149500806,835,835,0,0,1000,true
recovery,0.25,4,197,19.749531715451223,833,833,0,0,1000,true
recovery,0.25,5,158,19.285702012087757,779,779,0,0,1000,true
recovery,0.25,6,170,16.31415708767354,793,793,0,0,1000,true
recovery,0.25,7,172,20.114704748160406,804,804,0,0,1000,true
recovery,0.25,8,163,15.665933863895395,837,837,0,0,1000,true
recovery,0.25,9,158,15.25164070176521,769,769,0,0,1000,true
recovery,0.25,10,173,18.60080490126406,802,802,0,0,1000,true
recovery,0.25,11,150,19.034308360217434,747,747,0,0,1000,true
recovery,0.25,12,162,20.689840742095583,752,752,0,0,1000,true
recovery,0.25,13,175,18.330137640561215,777,777,0,0,1000,true
recovery,0.25,14,200,13.151893320769647,851,851,0,0,1000,true
recovery,0.25,15,126,17.199830581653355,752,752,0,0,1000,true
recovery,0.25,16,170,20.061535078238,785,785,0,0,1000,true
recovery,0.25,17,176,16.991681127817294,820,820,0,0,1000,true
recovery,0.25,18,187,22.577327515196373,823,823,0,0,1000,true
recovery,0.25,19,183,18.363059467643616,822,822,0,0,1000,true
recovery,0.25,20,176,19.17733239638275,809,809,0,0,1000,true
recovery,0.35,1,81,19.88767724179071,544,544,0,0,1000,true
recovery,0.35,2,69,22.285835526279516,508,508,0,0,1000,true
recovery,0.35,3,102,17.393111804687265,599,599,0,0,1000,true
recovery,0.35,4,64,16.717087273187964,492,492,0,0,1000,true
recovery,0.35,5,62,14.330627913206714,555,555,0,0,1000,true
recovery,0.35,6,77,16.470717395530556,606,606,0,0,1000,true
recovery,0.35,7,91,20.791068997317012,580,580,0,0,1000,true
recovery,0.35,8,64,21.383495660726823,527,539,12,0,1000,true
recovery,0.35,9,60,14.88558379319676,487,487,0,0,1000,true
recovery,0.35,10,78,21.523355455145495,546,546,0,0,1000,true
recovery,0.35,11,72,27.299395205914696,592,592,0,0,1000,true
recovery,0.35,12,53,74.12221676615857,473,499,26,0,1000,true
recovery,0.35,13,69,12.206088699418903,374,374,0,0,1000,true
recovery,0.35,14,99,17.086553952118724,577,577,0,0,1000,true
recovery,0.35,15,55,26.87825963166305,527,527,0,0,1000,true
recovery,0.35,16,94,15.66989280900409,558,558,0,0,1000,true
recovery,0.35,17,76,22.520605245123345,490,490,0,0,1000,true
recovery,0.35,18,43,19.89472227514709,449,453,4,0,1000,true
recovery,0.35,19,34,29.84472548502238,381,381,0,0,1000,true
recovery,0.35,20,64,26.351414575742186,542,542,0,0,1000,true
