t,mean_I,sd_I
0.0,10.0,0.0
0.25,10.25,1.118033988749895
0.5,11.25,1.7733405882980469
0.75,11.9,2.125038699338017
1.0,12.9,2.074912807299318
1.25,13.55,2.645253942640031
1.5,14.4,3.761298767853018
1.75,14.35,3.0482954684803594
2.0,15.1,3.58211933739908
2.25,16.2,4.652107615173782
2.5,16.7,4.824280693588042
2.75,17.25,5.128609127136457
3.0,17.9,5.514573992230902
3.25,20.2,6.622131951188178
3.5,21.7,8.007233571820183
3.75,23.0,8.491481799891861
4.0,25.15,9.943392410620177
4.25,26.3,10.01630250089691
4.5,27.1,9.893644956552453
4.75,28.55,9.77900543861292
5.0,29.85,11.216881075086407
5.25,31.15,10.994137193594545
5.5,32.95,11.371594342691655
5.75,35.5,13.597600407502247
6.0,38.05,14.77007999835799
6.25,40.35,14.960562190393501
6.5,42.65,16.141724293206558
6.75,44.6,16.378419691134653
7.0,46.1,16.568518022855397
7.25,48.1,18.648832332573022
7.5,49.5,18.05692752322353
7.75,50.85,17.77424215572991
8.0,51.85,19.464610261486847
8.25,54.7,19.910589618275207
8.5,56.25,19.68134302221001
8.75,58.5,21.15232972113424
9.0,62.5,23.22543977261957
9.25,64.4,23.767292873323115
9.5,68.65,25.565756291118046
9.75,71.55,26.601295971595462
10.0,75.1,26.873779042032776
10.25,78.05,27.910524330815655
10.5,80.4,29.240203037670764
10.75,83.75,30.37463450072497
11.0,86.45,30.706548247290147
11.25,89.0,30.10333081763195
11.5,93.95,31.283886890016852
11.75,97.6,31.797715906053774
12.0,101.75,33.554158891967006
12.25,104.55,33.87667261359092
12.5,109.9,34.73493615185846
12.75,113.8,35.47215364494418
13.0,117.25,35.490361923678435
13.25,122.15,37.72654377574439
13.5,124.45,35.92019663526064
13.75,127.45,33.948064048360386
14.0,130.5,33.34429644276751
14.25,133.35,32.60331755802581
14.5,136.15,32.65009873443602
14.75,139.25,30.655771329220762
15.0,140.6,30.742393154113838
15.25,143.15,29.716688559584973
15.5,144.45,26.178486547062583
15.75,147.65,26.27040560262281
16.0,148.65,25.344520844594896
16.25,150.35,24.43525279074003
16.5,151.05,24.830954790129876
16.75,152.4,22.26491221158246
17.0,154.25,21.400627142802687
17.25,155.2,20.294152645009532
17.5,157.15,20.084754626856974
17.75,157.7,21.004009642271434
18.0,158.25,20.364765753883013
18.25,157.15,20.81061217137469
18.5,156.75,21.003445832579597
18.75,155.4,20.869015057584395
19.0,155.55,22.16083553431475
19.25,156.65,22.841041086052467
19.5,154.85,21.315363868395615
19.75,154.2,24.330184847979314
20.0,153.3,24.544481639410687
20.25,152.95,24.00761940454914
20.5,151.2,23.412996840486517
20.75,150.15,23.928127029876254
21.0,148.95,24.545285751679057
21.25,147.35,24.685975136118333
21.5,143.9,24.48608627471184
21.75,140.9,23.72629010412844
22.0,139.25,24.763884994079586
22.25,137.5,23.864750486637686
22.5,136.5,23.518190048511272
22.75,134.25,23.914045641575758
23.0,131.2,24.189166779235787
23.25,128.95,23.236710972986373
23.5,127.35,23.76258669244132
23.75,124.5,23.609766043558732
24.0,121.75,23.43832893270966
24.25,119.2,22.343255193269822
24.5,115.2,23.020814380400232
24.75,111.2,21.17993091783376
25.0,109.3,20.90857290808322
25.25,106.85,21.054503206277698
25.5,103.3,20.731618364228108
25.75,100.45,20.67155431733997
26.0,97.85,19.89254025746176
26.25,95.15,18.05044102100089
26.5,92.5,19.135252669793573
26.75,90.25,19.158274287738198
27.0,87.35,18.419883421540916
27.25,86.1,19.42841110062109
27.5,83.15,19.876659149549464
27.75,81.4,19.082645739547036
28.0,78.3,17.54422982065613
28.25,75.95,16.96893446395811
28.5,74.75,17.013539499933266
28.75,72.45,16.20420673126191
29.0,70.5,15.43918459804894
29.25,67.45,14.554706238334406
29.5,65.55,14.605244191547666
29.75,63.95,14.336097244735974
30.0,62.7,14.477205313326552
30.25,61.5,14.136552099545273
30.5,59.6,14.858632082679112
30.75,57.0,14.621541426409546
31.0,55.8,15.087813137203081
31.25,53.95,15.027956404122634
31.5,52.35,14.68359270535798
31.75,51.0,14.403946827537455
32.0,48.8,14.34389655641216
32.25,47.5,14.284699212057193
32.5,46.0,13.657463739269955
32.75,44.75,13.699308472750694
33.0,43.85,13.608337227790292
33.25,42.15,13.511301312527033
33.5,40.6,12.737842500947615
33.75,39.55,12.754668907790919
34.0,37.9,12.822266816588613
34.25,36.9,13.28988535058068
34.5,35.4,13.152546281393978
34.75,34.0,13.054541456197493
35.0,33.55,12.922746164072583
35.25,32.65,12.470069429596107
35.5,31.3,12.443979732342358
35.75,30.45,12.296661934722046
36.0,29.35,12.15373020495094
36.25,28.85,12.153730204950941
36.5,27.6,11.842830387156077
36.75,26.4,11.820588639719839
37.0,25.5,10.811786940284444
37.25,25.35,10.979766079379594
37.5,24.15,11.221572269986337
37.75,22.75,11.06381013651455
38.0,21.9,10.29000537056788
38.25,21.0,9.994735456334263
38.5,20.2,9.747334318458021
38.75,19.7,9.481838595857596
39.0,19.1,9.17605579756357
39.25,17.9,9.002338877378362
39.5,17.6,8.958383312794076
39.75,16.6,8.635300866364274
40.0,15.3,7.800809674575286
40.25,14.3,6.728572226745159
40.5,14.05,6.901372861135751
40.75,13.55,6.644942675290339
41.0,13.25,6.919651649278916
41.25,12.9,7.275770894225791
41.5,12.6,7.3941655520096585
41.75,12.15,7.882525643873022
42.0,11.95,7.5287169522680575
42.25,11.6,6.931241249816507
42.5,11.35,6.531502607806986
42.75,11.35,6.603627392338403
43.0,11.05,6.419337562150951
43.25,10.5,6.108665113892249
43.5,10.3,5.956862473342471
43.75,9.65,5.940715888102872
44.0,9.25,5.339771333562593
44.25,9.25,5.4760242973587285
44.5,9.05,5.394685493978993
44.75,8.75,5.118336489627526
45.0,8.45,4.893335962521402
45.25,8.1,4.733975740937999
45.5,7.7,4.680305882941278
45.75,7.4,4.592900700222601
46.0,7.0,4.35285750066007
46.25,6.95,4.430456790041074
46.5,7.05,4.893335962521402
46.75,6.6,4.903274952840999
47.0,6.4,4.739531400332405
47.25,6.15,4.682273401941231
47.5,6.1,4.506136167260675
47.75,5.9,4.423620807961684
48.0,5.2,4.11160104556543
48.25,4.95,3.9666371810786765
48.5,4.8,4.007886961322243
48.75,4.5,3.90006747579955
49.0,4.5,3.90006747579955
49.25,4.25,3.725799101852973
49.5,4.2,3.4427651065600404
49.75,4.25,3.6255671062752737
50.0,4.0,3.2444284226152504
50.25,3.85,3.2488864489074927
50.5,3.45,3.0344513073770196
50.75,3.35,2.870448342020899
51.0,3.1,2.6536965280826466
51.25,2.95,2.564432839727663
51.5,2.85,2.5603248149199227
51.75,2.65,2.4121403467940206
52.0,2.65,2.5603248149199223
52.25,2.65,2.4767338424456895
52.5,2.6,2.4793887192315434
52.75,2.45,2.394621165511528
53.0,2.5,2.6257830912139837
53.25,2.45,2.7999060134601885
53.5,2.3,2.677390717215472
53.75,2.2,2.483630619200766
54.0,2.15,2.3902213066443956
