t,mean_I,sd_I
0.0,10.0,0.0
0.25,11.25,1.2085223687584246
0.5,12.45,1.6375527311718614
0.75,14.25,2.24487720916101
1.0,15.4,2.603641175051019
1.25,17.35,3.645833959899695
1.5,19.65,5.659412281184421
1.75,21.35,6.106726231227162
2.0,23.15,7.0805515693564285
2.25,25.7,8.137631881055995
2.5,28.05,9.190813491284596
2.75,30.75,10.176727837261062
3.0,34.6,12.334803136696289
3.25,37.6,13.351128475861033
3.5,41.05,14.745115159015599
3.75,44.65,15.845553917341244
4.0,49.0,18.40766430765071
4.25,53.7,20.396336100285012
4.5,60.3,23.753337715604914
4.75,67.55,25.359468282654255
5.0,73.9,28.714382972191554
5.25,80.35,32.24458338845048
5.5,87.2,35.274263765676615
5.75,94.6,38.75211369447444
6.0,100.3,40.01197189263286
6.25,106.25,41.982295767320025
6.5,115.8,47.042645826056486
6.75,125.15,49.80305951286633
7.0,135.05,53.10513405649113
7.25,143.25,55.6018505939657
7.5,152.75,57.71242226947788
7.75,162.7,59.591680804057134
8.0,172.0,59.49170663121656
8.25,180.65,59.234835945359755
8.5,190.55,58.46049048176401
8.75,198.1,56.98282289658137
9.0,209.45,58.64834991172744
9.25,217.55,57.99317110433642
9.5,224.55,57.74123310079202
9.75,231.5,55.81878574552892
10.0,239.45,54.95881232915772
10.25,246.35,55.0246595436513
10.5,250.75,54.145879952120765
10.75,255.85,51.3535475123702
11.0,259.85,51.04412435901852
11.25,264.5,47.29248299009495
11.5,266.15,44.76403043798259
11.75,267.45,42.63365979327157
12.0,269.6,40.2811174255709
12.25,268.75,37.51894258413447
12.5,268.35,33.43379160449248
12.75,266.9,31.79523300913618
13.0,267.15,27.549524783369193
13.25,264.7,27.35747756916504
13.5,262.55,25.875155733068087
13.75,258.3,25.608592308051605
14.0,254.3,26.525261048370673
14.25,249.7,27.69400467135156
14.5,246.8,29.30528962491243
14.75,241.7,28.92112686164507
15.0,236.1,30.433534135883725
15.25,230.25,30.11010496581889
15.5,223.4,31.411362342479293
15.75,217.3,32.41360987707414
16.0,210.0,34.59540584041699
16.25,203.05,37.31300746811746
16.5,195.7,36.173703737732794
16.75,190.9,35.171609364132856
17.0,183.9,33.32598164543062
17.25,177.35,35.924299062861266
17.5,170.95,35.912869706086084
