time,transition,failed,working,spares,busy_repairers,repair_queue
313.97358905625117,machine_failure,1,10,2,1,0
314.9344382521392,interval_end,1,10,2,1,0
314.9344382521392,repair_complete,0,10,3,0,0
318.8955053920016,interval_end,0,10,3,0,0
318.8955053920016,machine_failure,1,10,2,1,0
319.8075725617634,interval_end,1,10,2,1,0
319.8075725617634,repair_complete,0,10,3,0,0
320.303605979829,interval_end,0,10,3,0,0
320.303605979829,machine_failure,1,10,2,1,0
320.9477354912904,interval_end,1,10,2,1,0
320.9477354912904,repair_complete,0,10,3,0,0
322.6215098713,interval_end,0,10,3,0,0
322.6215098713,machine_failure,1,10,2,1,0
322.8309975448239,interval_end,1,10,2,1,0
322.8309975448239,repair_complete,0,10,3,0,0
324.7642133256569,interval_end,0,10,3,0,0
324.7642133256569,machine_failure,1,10,2,1,0
326.5515603006651,interval_end,1,10,2,1,0
326.5515603006651,repair_complete,0,10,3,0,0
339.8806869423395,interval_end,0,10,3,0,0
339.8806869423395,machine_failure,1,10,2,1,0
340.1249972730158,interval_end,1,10,2,1,0
340.1249972730158,machine_failure,2,10,1,1,1
341.64855137402213,interval_end,2,10,1,1,1
341.64855137402213,repair_complete,1,10,2,1,0
341.78116527331537,interval_end,1,10,2,1,0
341.78116527331537,repair_complete,0,10,3,0,0
343.8921613690675,interval_end,0,10,3,0,0
343.8921613690675,machine_failure,1,10,2,1,0
344.29767445605296,interval_end,1,10,2,1,0
344.29767445605296,repair_complete,0,10,3,0,0
346.6823841663977,interval_end,0,10,3,0,0
346.6823841663977,machine_failure,1,10,2,1,0
347.30455063613067,interval_end,1,10,2,1,0
347.30455063613067,repair_complete,0,10,3,0,0
348.96177789854846,interval_end,0,10,3,0,0
348.96177789854846,machine_failure,1,10,2,1,0
350.0575437974841,interval_end,1,10,2,1,0
350.0575437974841,repair_complete,0,10,3,0,0
358.63582174978694,interval_end,0,10,3,0,0
358.63582174978694,machine_failure,1,10,2,1,0
359.81637043424445,interval_end,1,10,2,1,0
359.81637043424445,repair_complete,0,10,3,0,0
360.89354050197994,interval_end,0,10,3,0,0
360.89354050197994,machine_failure,1,10,2,1,0
360.98274942257467,interval_end,1,10,2,1,0
360.98274942257467,repair_complete,0,10,3,0,0
376.69648378475017,interval_end,0,10,3,0,0
376.69648378475017,machine_failure,1,10,2,1,0
378.31826723250555,interval_end,1,10,2,1,0
378.31826723250555,repair_complete,0,10,3,0,0
379.64431030677656,interval_end,0,10,3,0,0
379.64431030677656,machine_failure,1,10,2,1,0
380.40984051336704,interval_end,1,10,2,1,0
380.40984051336704,repair_complete,0,10,3,0,0
382.21519650428564,interval_end,0,10,3,0,0
382.21519650428564,machine_failure,1,10,2,1,0
382.25195457485995,interval_end,1,10,2,1,0
382.25195457485995,repair_complete,0,10,3,0,0
385.711822039983,interval_end,0,10,3,0,0
385.711822039983,machine_failure,1,10,2,1,0
386.61121500489406,interval_end,1,10,2,1,0
386.61121500489406,repair_complete,0,10,3,0,0
403.93997669814763,interval_end,0,10,3,0,0
403.93997669814763,machine_failure,1,10,2,1,0
404.14862314354866,interval_end,1,10,2,1,0
404.14862314354866,repair_complete,0,10,3,0,0
408.8611948151428,interval_end,0,10,3,0,0
408.8611948151428,machine_failure,1,10,2,1,0
411.4436015728784,interval_end,1,10,2,1,0
411.4436015728784,repair_complete,0,10,3,0,0
434.308126016807,interval_end,0,10,3,0,0
434.308126016807,machine_failure,1,10,2,1,0
434.64782004971613,interval_end,1,10,2,1,0
434.64782004971613,repair_complete,0,10,3,0,0
