failed,expected_time,share,busy_repairers,repair_queue
0,11109.999999998787,0.9003241491085702,0,0
1,1109.9999999998788,0.08995137763370954,1,0
2,109.99999999998798,0.008914100486223467,1,1
3,9.999999999998908,0.0008103727714748606,1,2
