run,required,spares,repairers,failure_mean,repair_mean,seed,failure_time,utilization,mean_queue,transitions
1,10,3,1,100.0,1.0,150,4196.934258777265,0.08956600088819185,0.009012010831305293,1628
2,10,3,1,100.0,1.0,151,22311.626879389976,0.10134115909866098,0.011115500422467166,9172
3,10,3,1,100.0,1.0,152,66946.37244228025,0.10102975761374616,0.01179909020511591,26852
4,10,3,1,100.0,1.0,153,12198.351511995374,0.09554771607220548,0.008740253115778474,4780
5,10,3,1,100.0,1.0,154,31867.13733936971,0.10288514356159574,0.01169024378099738,12948
